id,current_stock_quantity,units,avg_lead_time_days,maximum_lead_time_days,unit_price
1009AA,7210.0,Kg,30,48,28.76326
1077CA,46516.0,Kg,45,70,22.9777
1083AA,48210.0,Kg,45,68,29.02
1116CA,33398.0,Kg,90,140,32.8
1126CA,39270.0,Kg,45,62,32.8
1130AA,13622.0,Kg,90,139,17.26609
1145BA,1816.0,Kg,45,60,85.30066
1161AA,197.0,Kg,90,142,136.5925
1163CA,2161.0,Kg,90,136,94.66425
1193BA,2957.0,Kg,90,138,815.0
1196AA,1253.0,Kg,90,128,30.0
1206BA,786.0,Kg,45,69,236.62475
1214CA,2472.0,Kg,30,43,317.65903
1224AA,194.0,Kg,90,121,698.0
1234BA,532.0,Kg,45,63,498.0
1244AA,2834.0,Kg,45,67,60.0
1255CA,10.0,Kg,60,83,84500.0
1265CA,6.0,Kg,60,79,103500.0
1266CA,5.0,Kg,60,86,118900.0
1281BA,3.0,Kg,60,85,139500.0
1283CA,0.0,Kg,60,92,98333.33
1295CA,5.0,Kg,120,158,175000.0
1296CA,4.0,Kg,60,93,30.0
1308BA,8.0,Kg,45,63,30.0
1315BA,6.0,Kg,90,131,30.0
1317BA,4.0,Kg,90,120,30.0
1317CA,16.0,Kg,90,144,4908.7
1321BA,9.0,Kg,90,137,30.0
1325AA,6.0,Kg,45,69,30.0
1326AA,8.0,Kg,90,126,30.0
1330CA,8.0,Kg,60,92,6000.0
1366BA,12.0,Kg,45,67,16900.0
1367CA,5.0,Kg,90,121,22000.0
1373BA,9.0,Kg,45,59,30.0
1374CA,4.0,Kg,45,70,30.0
1379CA,271.0,Kg,45,72,490.18125
1382CA,172.0,Kg,90,123,613.52125
1385CA,89.0,Kg,45,66,1781.5475
1390BA,11.0,Kg,30,47,30.0
1403CA,10.0,Kg,30,42,2550.0
1420CA,9.0,Kg,30,46,30.0
1434BA,27.0,Kg,30,48,30.0
1436BA,81.0,Kg,30,41,125.0
1441AA,38.0,Kg,45,70,190.0
1445BA,46.0,Kg,30,44,1291.865
1464AA,21.0,Kg,30,42,842.57
1468AA,459.0,Kg,60,94,30.0
1479CA,303.0,Kg,60,81,385.5625
1484BA,439.0,Kg,15,23,0.2
1486CA,66.0,Kg,60,81,190.72
1488BA,45.0,Kg,30,47,70.0
1488CA,100.0,Kg,15,22,30.0
1491CA,0.0,Kg,30,43,30.0
1497CA,2096.0,Kg,40,53,16.71828
1499AA,4218.004,Kg,20,30,14.22359
1499CA,25.0,Kg,60,86,6600.0
1511CA,49.9999999999999,Kg,30,41,6.787
1514BA,13.0,Kg,45,68,332.8
1571AA,86.0,Kg,60,93,320.0
1582CA,23.0,Kg,45,63,550.0
1584BA,20.0,Kg,45,65,425.0
1586CA,972.0,Kg,30,40,286.571
1601AA,14.0,Kg,30,42,918.403
1624AA,17.0,Kg,15,21,722.101
1624CA,18.0,Kg,30,48,1531.377
1630BA,262.0,Kg,60,91,442.803
1650AA,221.0,Kg,60,93,284.87
1668CA,400.0,Kg,30,46,0.85
1672AA,415.0,Kg,15,24,30.0
1678CA,230.0,Kg,60,87,30.0
1681CA,218.0,Kg,30,47,93.0
1688CA,287.0,Kg,60,79,30.0
1695CA,30.0,Kg,15,22,1649.3
1698CA,15.0,Kg,15,24,30.0
1708AA,15.0,Kg,15,23,120.0
1712AA,17.0,Kg,15,21,30.0
1716AA,22.0,Kg,15,21,140.0
1741BA,21.0,Kg,30,41,1450.0
1745BA,21.0,Kg,15,20,175.0
1764AA,16.0,Kg,15,23,325.0
1766CA,11.0,Kg,15,24,30.0
1767CA,14.0,Kg,15,21,30.0
1798AA,13.0,Kg,15,22,375.0
1801AA,15.0,Kg,30,46,1250.0
1811CA,15.0,Kg,30,42,30.0
1819AA,15.0,Kg,30,40,30.0
1826AA,15.0,Kg,60,82,30.0
1827AA,15.0,Kg,30,48,30.0
1830AA,26.0,Kg,30,44,30.0
1842BA,6.0,Kg,30,41,6548.29
1851CA,6.0,Kg,60,81,30.0
1857AA,8.0,Kg,60,89,30.0
1872CA,6.0,Kg,60,89,16000.0
1876AA,5.0,Kg,30,40,22919.0
1882CA,6.0,Kg,60,87,19950.0
1902BA,6.0,Kg,60,79,30.0
1906CA,32.0,Kg,30,46,1893.75
1907AA,30.0,Kg,60,89,6617.42
1908AA,22.0,Kg,120,157,27809.1
1921AA,4.0,Kg,90,142,50000.0
1945AA,31.0,Kg,15,23,965.0
1947CA,16.0,Kg,30,47,30.0
1953AA,38.0,Kg,30,40,947.56
1956AA,3.46000000000004,Kg,60,90,573.09
1956CA,12.0,Kg,60,92,1250.0
1964BA,21840.0,Kg,60,96,99.12769
1967BA,4190.5,Kg,120,163,178.65
1970CA,790.5,Kg,60,96,244.928
1971AA,1890.5,Kg,120,177,321.9469
1979AA,1256.5,Kg,60,94,278.638
